種別,文言,ACFに入力するJSON
とくせい,福{$val}で{$gimmick_name}が解放,"{""trait_type"" : ""gimmick"",""gimmick"" : ""$gimmick_name"",""condition_type_loop"" : [{""condition_type"" : ""fuku_count"",""condition_value"" : ""$val""}]}"
とくせい,{$gimmick_name_guard}ブロックから受けるダメージを軽減,"{""trait_type"" : ""gimmick"",""gimmick"" : ""$gimmick_name_guard""}"
とくせい,{$gimmick_name_breaker}ブロックへのダメージ{$gimmick_prefix},"{""trait_type"" : ""gimmick"",""gimmick"" : ""$gimmick_name_breaker"",""gimmick_prefix"" : ""$gimmick_prefix""}"
とくせい,{$gimmick_name_guard}マスの効果を受けない,"{""trait_type"" : ""gimmick"",""gimmick"" : ""$gimmick_name_guard""}"
とくせい,チェンジマスの効果を受けない。さらにチェンジマスがある場合、文字変換に「{$dot_separated_moji}」が追加される,"{""trait_type"" : ""gimmick"",""gimmick"" : ""スーパーチェンジガード""}|{""available_moji"" : ""$dot_separated_moji"",""moji_attr"" : ""default"",""unlock_place"" : ""super_change""}"
とくせい,コピーマスの効果を受けない。さらにコピーマスがある場合、文字変換に「{$dot_separated_moji}」が追加される,"{""trait_type"" : ""gimmick"",""gimmick"" : ""スーパーコピーガード""}|{""available_moji"" : ""$dot_separated_moji"",""moji_attr"" : ""default"",""unlock_place"" : ""super_copy""}"
とくせい,弱体マスに入れた場合、弱体効果を受けず強化効果を付与,"{""trait_type"" : ""gimmick"",""gimmick"" : ""スーパー弱体ガード""}"
とくせい,{$gimmick_name_super_guard}マスに入れた場合、{$gimmick_name_super_guard}マスの効果を受けず強化効果を付与,"{""trait_type"" : ""gimmick"",""gimmick"" : ""$gimmick_name_super_guard""}"
とくせい,トゲブロックから受けるダメージを軽減し、軽減した時に自身のATKを上昇する,"{""trait_type"" : ""gimmick"",""gimmick"" : ""super_needle""}"
とくせい,ビリビリブロックから受けるダメージを軽減し、HPを{$val}回復する,"{""trait_type"" : ""gimmick"",""gimmick"" : ""super_shock"",""super_gimmick_healing"" : ""$val""}"
とくせい,文字変換に「{$dot_separated_moji}」を追加する,"{""available_moji"" : ""$dot_separated_moji"",""moji_attr"" : ""default"",""unlock_place"" : ""$trait_num""}"
とくせい,サブ属性として{$attr}の文字「{$dot_separated_moji}」を追加する,"{""available_moji"" : ""$dot_separated_moji"",""moji_attr"" : ""$attr"",""unlock_place"" : ""$trait_num""}"
とくせい,自身の福に応じて文字変換が追加福{$fuku_val}で「{$dot_separated_moji}」の文字を追加する,"{""available_moji"" : ""$dot_separated_moji"",""moji_attr"" : ""default"",""unlock_place"" : ""$trait_num""}"
とくせい,自身の福に応じて文字変換が追加福{$dot_separated_fuku_val}で{$dot_separated_moji}の順に文字を追加する,"{""available_moji"" : ""$dot_separated_moji"",""moji_attr"" : ""default"",""unlock_place"" : ""$trait_num""}"
とくせい,自身の福に応じてサブ属性文字変換({$attr})が追加福{$fuku_val}で「{$dot_separated_moji}」の文字を追加する,"{""available_moji"" : ""$dot_separated_moji"",""moji_attr"" : ""$attr"",""unlock_place"" : ""$trait_num"",""unlock_need_point"" : ""$fuku_val""}"
とくせい,自身の福に応じてサブ属性文字変換({$attr}）が追加福{$dot_separated_fuku_val}で「{$dot_separated_moji}」の順に文字を追加する,"{""available_moji"" : ""$dot_separated_moji"",""moji_attr"" : ""$attr"",""unlock_place"" : ""$trait_num"",""unlock_need_point"" : ""$fuku_val""}"
とくせい,自身の1回の攻撃で与えることができるダメージの上限を{$val}増加,"{""trait_type"" : ""damage_correction"",""damage_correction"" : ""break_limit"",""limit_break_rate"" : ""$val""}"
とくせい,自身の威力が{$val}%UP,"{""trait_type"" : ""damage_correction"",""damage_correction"" : ""oneself"", ""trait_rate"" : ""$val""}"
とくせい,威力{$val}%UP,"{""trait_type"" : ""damage_correction"",""damage_correction"" : ""oneself"", ""trait_rate"" : ""$val"", ""rate_type"" : ""percentage"", ""target_field_group"" : {""target_type"" : ""self""}}"
とくせい,{$character_target}の敵に与えるダメージが{$val}%増加,"{""trait_type"" : ""damage_correction"",""damage_correction"" : ""killer"", ""trait_rate"" : ""$val"",""rate_type"" : ""percentage"" ,""target_field_group"" : $character_target}"
とくせい,{$character_target}からのダメージを{$val}%軽減,"{""trait_type"" : ""status_up"", ""status_up"" : ""mitigation"", ""target_field_group"" : $character_target, ""trait_rate"" : ""$val"", ""rate_type"" : ""percentage""}"
とくせい,バリアを使用している敵に{$val}%のダメージを与える,"{""trait_type"" : ""other_traits"",""other_traits"" : ""penetration"",""trait_rate"" : ""$val"", ""rate_type"" : ""percentage""}"
とくせい,デッキ内の{$character_target}の単体単発攻撃で敵に与えるダメージが{$val}%UP,"{""trait_type"" :""damage_correction"",""damage_correction"" : ""single_shot"", ""trait_rate"" : ""$val"", ""rate_type"" : ""percentage"" ,""target_field_group"" : $character_target}"
とくせい,デッキ内の{$character_target}の単体単発攻撃で敵に与えるダメージが{$val}%UP・単体単発攻撃で与えることができるダメージの上限を{$val2}増加,"{""trait_type"" :""damage_correction"",""damage_correction"" : ""single_shot"", ""limit_break_rate"" : ""$val2"", ""trait_rate"" : ""$val"", ""rate_type"" : ""percentage"" ,""target_field_group"" : $character_target}"
とくせい,デッキ内の{$character_target}の単体単発攻撃で与えることができるダメージの上限を{$val}増加,"{""trait_type"" :""damage_correction"",""damage_correction"" : ""single_shot"", ""limit_break_rate"" : ""$val"", ""target_field_group"" : $character_target}"
とくせい,デッキ内の{$character_target}の文字が「{$dot_camma_val}」の時、そのコトダマンの威力が{$val}%UP,"{""trait_type"" : ""damage_correction"",""damage_correction"" : ""oneself"", ""trait_rate"" : ""$val"", ""rate_type"" : ""percentage"", ""whose_trait"" : $character_target, ""condition_type_loop"" : [{""condition_type"" : ""char"", ""condition_value"" : ""$dot_camma_val""}]}"
とくせい,{$character_target}の敵に与えるダメージが{$val}%UP,"{""trait_type"" : ""damage_correction"",""damage_correction"" : ""killer"", ""trait_rate"" : ""$val"",""rate_type"" : ""percentage"" ,""target_field_group"" : $character_target}"
とくせい,自身が弱点を突いたときのダメージが{$val}%UP,"{""trait_type"" : ""damage_correction"",""damage_correction"" : ""weak_killer"", ""trait_rate"" : ""$val"", ""rate_type"" : ""percentage""}"
